fuzzyKey	title	scrapedDate	scrapedType	scrapedSubType	image
f46672217caf5b6823e7bb1c19ca8cb7	Press Release  - 2021.08.05 - Covid 19 Infection Deaths	2021-08-05	Press Release	Covid 19 Infection Deaths	https://www.dgi.gov.lk/images/2021.08.06/Release_No_-_780_English-page-001.jpg
b7e13c1833f3d1754358510f7df5b68c	Press Release  - 2021.08.05	2021-08-05	Press Release	Press Release	https://www.dgi.gov.lk/images/2021.08.06/Release_No_-_779_English-page-001.jpg
98e31a277df65ae361d872584e6bf79f	Press Release  - 2021.08.04 - Covid 19 Infection Deaths	2021-08-04	Press Release	Covid 19 Infection Deaths	https://www.dgi.gov.lk/images/2021.08.05/Release_No_-_778_English_1-page-001.jpg
60d4d0f0cf7297424b886f947b629d00	Press Release  - 2021.08.04 - Covid 19 Infection Report	2021-08-04	Press Release	Covid 19 Infection Report	https://www.dgi.gov.lk/images/2021.08.05/Release_No_-_777_English-page-001.jpg
e66a79e97061f0fa97504b14ce1b4f5e	Press Release  - 2021.08.04	2021-08-04	Press Release	Press Release	https://www.dgi.gov.lk/images/2021.08.05/PR-776_English-page-001.jpg
bb91dce37cc4fe78d8bb7d928353e15d	Press Release - 2021.08.03 - Covid 19 Infection Report	2021-08-03	Press Release	Covid 19 Infection Report	https://www.dgi.gov.lk/images/2021.08.04/p-773_English-page-001.jpg
cf39b94352041c144ce5bf226511ba9c	Press Release - 2021.08.03 - Covid 19 Infection Deaths	2021-08-03	Press Release	Covid 19 Infection Deaths	https://www.dgi.gov.lk/images/2021.08.04/PR_-772_English-page-001.jpg
e388f4f46a86fb107bb2741043843ec7	Press Release - 2021.08.03	2021-08-03	Press Release	Press Release	https://www.dgi.gov.lk/images/2021.08.04/PR_771_-_English-page-001.jpg
16d4de90c91a55bb9345085dfc544be2	Press Release - 2021.08.02 - Covid 19 Infection Report	2021-08-02	Press Release	Covid 19 Infection Report	https://www.dgi.gov.lk/images/2021.08.03/Press_Release_-_767_English-page-001.jpg
62a63c77392004f86508bc162cc95262	Press Release - 2021.08.02 - Covid 19 Infection Deaths	2021-08-02	Press Release	Covid 19 Infection Deaths	https://www.dgi.gov.lk/images/2021.08.03/Press_Release_-_766_English-page-001.jpg
199a8cd0f34a84ad37c8ca7ba38038e0	Press Release - 2021.08.02	2021-08-02	Press Release	Press Release	https://www.dgi.gov.lk/images/2021.08.03/Press_Release_-_765_English-page-001.jpg
39fc8f2c5f842ce70938e83ba7d7a5b5	Press Release - 2021.08.01 - Covid 19 Infection Report	2021-08-01	Press Release	Covid 19 Infection Report	https://www.dgi.gov.lk/images/2021.08.02/Press_Release-_764_English-page-001.jpg
