fuzzyKey	date	ageBelow30Male	ageBelow30Female	ageAbove60Male	ageAbove60Female
8c04080ccfbcd483122cc0a4786c4e80	2021-08-11T05:30:00.000+05:30	1	0	55	40
7a51a651654a93879380aad0c393e19a	2021-08-10T05:30:00.000+05:30	0	0	64	37
cde70fb9d859a4b9ee5068a95045426a	2021-08-09T05:30:00.000+05:30	0	0	41	49
b9f4cda360337376c45197313a67ef77	2021-08-08T05:30:00.000+05:30	1	0	54	17
89e1944418539e0de39bd30db59d41da	2021-08-07T05:30:00.000+05:30	0	0	35	43
cda6b22b9095811e1557190cda0489cf	2021-08-06T05:30:00.000+05:30	1	0	37	33
f46672217caf5b6823e7bb1c19ca8cb7	2021-08-05T05:30:00.000+05:30	0	2	37	36
98e31a277df65ae361d872584e6bf79f	2021-08-04T05:30:00.000+05:30	0	0	27	33
62a63c77392004f86508bc162cc95262	2021-08-02T05:30:00.000+05:30	0	0	26	20
1e8bbae42cc575250dd7514298e3739c	2021-08-01T05:30:00.000+05:30	1	0	26	30
5dd6fef6195638c77bea5ede18510e82	2021-07-30T05:30:00.000+05:30	0	0	26	15
ed1526cbc3bb04dc45fa8d24c5eb441d	2021-07-29T05:30:00.000+05:30	0	0		
bb83e642ec4deccc1affba22e8f2a67c	2021-07-28T05:30:00.000+05:30	0	1	30	21
4188179410996a9e237abd119fe9bec0	2021-07-27T05:30:00.000+05:30	0	1	22	16
72850c504af137e595a353117d62b864	2021-07-26T05:30:00.000+05:30	0	0	24	12
33205c6baea7e20390f5515642892b2e	2021-07-25T05:30:00.000+05:30	1	0	19	18
d3bf9ea82b48a3cc9161727ede2302d5	2021-07-24T05:30:00.000+05:30	1	0	18	21
abfd9896ca6686d7e15efada3836edee	2021-07-23T05:30:00.000+05:30	0	0	22	13
e83b73d57b8e2b785c2008b03790196e	2021-07-22T05:30:00.000+05:30	0	1	21	14
9eec530cadb7f55a0dc4befaf76be045	2021-07-21T05:30:00.000+05:30	0	0	16	17
7196977558d870edef5dab6cf7a29caa	2021-07-20T05:30:00.000+05:30	1	0	16	15
5d41332c691337a024e074e15b93f153	2021-07-19T05:30:00.000+05:30	0	1	23	14
67a19cf5bc13e3947ba37c84c2969fa8	2021-07-18T05:30:00.000+05:30	0	0	22	11
